FAMILY	Agossypii	Dhansenii	Ncrassa	Nfumigata	Pcarinii	Pjirovecii	Rdelemar	Sjaponicus	Spombe	Tdeformans	Umaydis	Scerevisiae	Ylipolytica	Scryophilus	Soctosporus
ORTHOMCL146	2	1	2	2	0	1	2	2	2	1	1	2	2	2	2
ORTHOMCL147	1	2	2	2	1	1	4	1	1	1	2	2	2	1	1
ORTHOMCL148	2	2	1	1	1	2	2	2	2	1	1	2	1	2	2
ORTHOMCL149	2	2	1	1	1	1	1	2	2	1	0	2	3	3	2
ORTHOMCL150	1	1	2	3	1	1	7	1	1	1	1	1	1	1	1
ORTHOMCL151	2	2	1	1	4	2	4	1	1	1	1	1	1	1	1
ORTHOMCL152	1	2	1	1	1	1	4	2	2	1	1	2	1	2	2
ORTHOMCL153	1	2	1	1	1	1	3	1	3	1	1	1	1	3	3
ORTHOMCL154	2	2	2	5	1	1	1	1	1	2	2	2	2	0	0
ORTHOMCL155	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0
ORTHOMCL156	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0
ORTHOMCL157	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0
ORTHOMCL158	0	4	2	1	0	0	9	0	0	1	1	2	3	0	0
ORTHOMCL159	1	3	2	2	0	0	2	2	1	2	2	1	1	2	2
ORTHOMCL160	2	2	2	2	0	0	4	1	1	2	1	2	2	1	1
ORTHOMCL161	1	2	2	5	0	0	2	1	1	2	3	1	1	1	1
ORTHOMCL162	2	1	1	1	0	0	2	2	2	2	3	2	1	2	2
ORTHOMCL163	1	2	2	2	0	0	0	2	2	3	2	1	2	2	2
ORTHOMCL164	1	1	1	1	0	1	5	2	2	1	1	2	1	2	2
ORTHOMCL165	1	2	3	3	0	1	2	1	1	1	3	1	2	1	1
ORTHOMCL166	1	1	1	1	1	1	4	2	2	1	1	2	1	2	2
ORTHOMCL167	1	1	2	2	1	1	7	1	1	1	1	1	1	1	1
ORTHOMCL168	1	1	1	1	1	1	9	1	1	1	0	2	1	1	1
ORTHOMCL169	2	2	1	1	1	1	5	1	1	0	1	3	2	1	1
ORTHOMCL170	1	1	1	1	1	1	4	2	2	1	1	1	2	2	2
ORTHOMCL171	1	1	1	1	1	2	4	1	2	1	1	2	1	2	2
ORTHOMCL172	1	1	1	1	1	1	5	1	2	1	1	2	1	2	2
ORTHOMCL173	1	1	2	2	2	1	1	2	2	1	1	1	2	2	2
ORTHOMCL174	1	1	1	1	3	1	4	1	2	1	1	1	1	2	2
ORTHOMCL175	1	1	1	1	1	1	1	3	3	1	1	1	1	3	3
ORTHOMCL176	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0
ORTHOMCL177	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0
ORTHOMCL178	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0
ORTHOMCL179	1	1	1	1	0	0	4	2	4	1	2	1	2	1	1
ORTHOMCL180	1	1	1	1	0	0	5	2	2	2	1	1	1	2	2
ORTHOMCL181	1	1	1	1	0	0	10	1	1	1	1	1	1	1	1
ORTHOMCL182	1	4	2	4	0	0	0	0	1	1	1	3	3	1	1
ORTHOMCL183	1	1	1	1	0	1	3	2	2	1	1	2	1	3	2
ORTHOMCL184	1	1	1	2	0	1	1	3	2	1	2	2	1	2	2
ORTHOMCL185	2	3	1	2	2	1	2	0	1	2	1	2	1	1	1
ORTHOMCL186	1	1	1	1	1	1	3	2	2	1	1	2	1	2	2
ORTHOMCL187	1	2	1	1	1	1	2	2	1	1	1	2	2	2	2
ORTHOMCL188	1	1	1	1	1	1	4	2	1	1	1	2	1	2	2
ORTHOMCL189	1	1	1	1	1	1	3	2	2	1	1	1	2	2	2
ORTHOMCL190	2	2	1	1	1	1	1	2	2	1	1	2	1	2	2
ORTHOMCL191	1	1	2	2	3	1	3	1	1	1	2	1	2	1	0
ORTHOMCL192	2	2	1	1	1	1	1	2	1	1	1	1	3	2	2
ORTHOMCL193	1	1	1	1	1	1	4	2	2	1	1	1	1	2	2
ORTHOMCL194	1	2	2	3	1	1	3	1	1	0	1	2	2	1	1
ORTHOMCL195	2	2	1	1	2	1	3	1	1	1	1	2	2	1	1
ORTHOMCL196	1	2	1	1	2	0	3	1	1	1	1	1	1	3	3
ORTHOMCL197	1	1	1	1	1	1	3	2	2	1	1	2	1	2	2
ORTHOMCL198	1	1	1	1	2	1	3	2	2	1	1	1	1	2	2
ORTHOMCL199	2	1	1	1	1	1	5	1	1	1	1	1	3	1	1
ORTHOMCL200	1	1	1	1	1	1	3	2	2	1	1	2	1	2	2
ORTHOMCL201	1	1	1	1	1	1	4	2	2	1	1	1	1	2	2
ORTHOMCL202	1	1	1	1	1	2	4	2	2	1	0	1	1	2	2
ORTHOMCL203	1	1	1	1	2	1	3	2	2	1	1	1	1	2	2
ORTHOMCL204	1	1	1	1	2	1	4	1	1	1	2	2	2	1	1
ORTHOMCL205	1	2	1	1	1	1	3	2	2	1	1	1	1	2	2
ORTHOMCL206	0	0	0	0	0	0	2	0	0	0	0	0	19	0	0
ORTHOMCL207	1	0	0	0	0	0	20	0	0	0	0	0	0	0	0
ORTHOMCL208	0	1	3	4	0	0	5	0	0	2	2	0	4	0	0
ORTHOMCL209	0	2	3	3	0	0	4	0	4	2	2	1	0	0	0
ORTHOMCL210	2	5	1	1	0	0	2	0	0	4	1	3	2	0	0
ORTHOMCL211	1	1	1	2	0	0	3	2	2	1	1	2	1	2	2
ORTHOMCL212	0	1	1	1	0	0	5	1	1	1	1	2	5	1	1
ORTHOMCL213	2	1	3	3	0	0	2	1	0	1	1	1	3	2	1
ORTHOMCL214	1	1	1	1	0	0	8	1	1	1	1	2	1	1	1
ORTHOMCL215	2	2	1	1	0	0	6	1	1	1	1	1	2	1	1
ORTHOMCL216	1	1	2	2	0	0	5	1	1	1	1	1	1	2	2
ORTHOMCL217	1	1	1	1	0	0	4	2	2	1	1	2	1	2	2
ORTHOMCL218	0	1	4	2	0	0	0	0	1	1	0	0	0	7	5
ORTHOMCL219	0	3	1	1	0	0	0	2	5	1	0	1	2	2	3
ORTHOMCL220	1	2	1	3	0	0	1	1	1	1	3	1	4	1	1
ORTHOMCL221	1	1	1	1	0	0	8	1	1	1	2	1	1	1	1
ORTHOMCL222	0	4	2	2	0	0	2	1	2	1	1	0	2	2	2
ORTHOMCL223	1	1	2	3	0	0	2	2	2	1	1	1	1	2	2
ORTHOMCL224	0	4	1	2	0	0	1	2	3	0	1	1	2	2	2
ORTHOMCL225	1	1	1	1	0	1	4	3	1	1	1	2	1	2	1
ORTHOMCL226	1	1	1	1	0	2	4	1	2	1	1	1	1	2	2
ORTHOMCL227	1	2	1	1	0	1	2	2	2	1	1	2	1	2	2
ORTHOMCL228	2	2	1	1	0	2	3	1	1	1	1	3	1	1	1
ORTHOMCL229	1	1	1	1	0	1	4	2	1	4	1	1	1	1	1
ORTHOMCL230	2	1	1	3	0	1	0	1	1	2	3	2	2	1	1
ORTHOMCL231	1	1	1	1	1	1	2	2	2	1	1	2	1	2	2
ORTHOMCL232	1	1	1	1	1	1	2	2	2	1	1	2	1	2	2
ORTHOMCL233	1	1	1	1	1	2	2	1	1	1	4	1	2	1	1
ORTHOMCL234	1	1	1	1	1	1	3	2	2	1	1	1	1	2	2
ORTHOMCL235	1	1	1	1	1	1	5	1	1	1	1	2	2	1	1
ORTHOMCL236	1	1	2	3	1	1	3	1	1	2	1	1	1	1	1
ORTHOMCL237	1	1	1	1	2	1	2	2	2	1	1	1	1	2	2
ORTHOMCL238	1	2	1	1	1	1	3	2	2	1	1	2	1	1	1
ORTHOMCL239	2	2	1	4	1	1	2	1	1	1	1	1	1	1	1
ORTHOMCL240	1	1	1	1	3	2	2	1	1	1	2	1	2	1	1
ORTHOMCL241	1	1	1	1	3	2	2	2	1	2	2	0	1	1	1
ORTHOMCL242	1	1	5	2	1	0	0	1	1	1	0	1	5	1	1
ORTHOMCL243	1	1	1	2	2	0	1	1	1	2	1	1	1	3	3
ORTHOMCL244	1	1	1	1	1	1	2	2	2	1	1	1	2	2	2
ORTHOMCL245	1	1	1	1	1	1	2	2	2	1	1	1	2	2	2
ORTHOMCL246	2	1	2	1	2	1	1	1	1	2	1	2	2	1	1
ORTHOMCL247	1	1	1	1	2	1	4	1	1	1	1	1	3	1	1
ORTHOMCL248	2	2	1	1	1	1	4	1	1	1	1	2	1	1	1
ORTHOMCL249	1	1	1	1	1	1	3	2	2	1	1	1	1	2	2
ORTHOMCL250	1	1	1	1	3	1	2	2	2	1	0	1	1	2	2
ORTHOMCL251	1	1	1	1	1	1	1	2	2	1	1	2	2	2	2
ORTHOMCL252	1	2	1	1	1	1	1	2	2	1	1	2	1	2	2
ORTHOMCL253	1	1	2	2	3	1	3	1	1	1	1	1	1	1	1
ORTHOMCL254	1	2	2	2	1	1	2	1	1	1	2	1	2	1	1
ORTHOMCL255	1	1	1	1	1	1	2	2	2	1	1	2	1	2	2
ORTHOMCL256	1	1	1	1	1	1	5	1	2	1	1	0	1	2	2
ORTHOMCL257	1	1	1	1	1	1	6	1	1	1	2	1	1	1	1
ORTHOMCL258	2	2	1	1	1	1	2	1	1	1	1	2	3	1	1
ORTHOMCL259	1	1	1	1	1	1	3	2	2	1	1	1	1	2	2
ORTHOMCL260	2	2	1	2	1	1	1	1	1	2	1	2	2	1	1
ORTHOMCL261	1	1	1	1	1	1	2	1	2	1	1	1	3	2	2
ORTHOMCL262	1	1	1	1	2	2	1	2	2	1	1	1	1	2	2
ORTHOMCL263	2	2	1	1	2	1	3	1	1	1	1	2	1	1	1
ORTHOMCL264	1	1	1	1	1	1	4	1	2	1	1	1	1	2	2
ORTHOMCL265	1	1	1	1	1	2	4	2	2	1	1	1	0	2	1
ORTHOMCL266	1	1	1	1	1	1	7	1	1	1	1	1	1	1	1
ORTHOMCL267	1	1	1	1	1	1	5	1	2	0	0	2	1	2	2
ORTHOMCL268	1	1	1	1	1	1	7	1	1	1	1	1	1	1	1
ORTHOMCL269	1	1	1	1	1	1	2	2	2	1	1	2	1	2	2
ORTHOMCL270	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0
ORTHOMCL271	1	1	1	2	0	0	2	0	0	1	1	0	11	0	0
ORTHOMCL272	1	1	1	1	0	0	5	1	1	2	4	1	1	0	1
ORTHOMCL273	1	1	1	1	0	0	4	2	2	1	1	1	1	2	2
ORTHOMCL274	1	1	1	1	0	0	3	2	2	1	1	2	1	2	2
ORTHOMCL275	1	2	2	2	0	0	0	1	1	3	3	1	2	1	1
ORTHOMCL276	1	3	1	3	0	0	0	1	3	1	1	3	1	1	1
ORTHOMCL277	2	1	1	1	0	0	2	1	3	2	2	1	1	2	1
ORTHOMCL278	1	1	1	3	0	0	0	2	2	3	1	1	1	2	2
ORTHOMCL279	0	3	2	2	0	0	1	1	1	1	1	1	4	1	2
ORTHOMCL280	1	1	1	2	0	0	2	3	3	1	2	1	1	1	1
ORTHOMCL281	1	1	1	1	0	0	4	2	2	1	1	1	1	2	2
ORTHOMCL282	2	2	1	1	0	1	2	1	1	1	1	3	2	1	1
ORTHOMCL283	1	1	1	1	0	1	3	2	2	1	1	1	1	2	2
ORTHOMCL284	1	1	1	1	0	1	3	2	1	1	1	2	1	2	2
ORTHOMCL285	2	2	1	1	0	1	1	1	1	1	1	4	2	1	1
ORTHOMCL286	1	1	1	1	0	1	3	2	2	1	1	1	1	2	2
ORTHOMCL287	1	1	4	3	0	1	1	1	1	2	1	1	1	1	1
ORTHOMCL288	1	1	1	1	0	1	3	2	2	1	1	1	1	2	2
ORTHOMCL289	1	1	1	1	0	1	1	1	1	1	6	1	2	1	1
ORTHOMCL290	1	1	2	2	1	0	2	1	1	2	1	2	2	1	1
ORTHOMCL291	1	1	1	1	1	1	2	1	1	1	1	2	4	1	1
ORTHOMCL292	2	2	1	1	1	2	1	1	1	1	1	2	2	1	1
ORTHOMCL293	1	1	1	1	1	1	2	2	2	1	1	1	1	2	2
ORTHOMCL294	1	1	1	1	2	1	1	2	2	1	1	1	1	2	2
ORTHOMCL295	1	1	1	1	1	1	6	1	1	1	1	1	1	1	1
ORTHOMCL296	1	1	1	1	1	1	3	2	2	2	0	0	1	2	2
ORTHOMCL297	1	2	1	2	1	1	3	1	1	1	1	2	1	1	1
ORTHOMCL298	1	1	1	1	3	0	1	2	1	1	1	2	1	2	2
ORTHOMCL299	2	2	1	1	1	1	4	1	1	1	1	1	1	1	1
ORTHOMCL300	1	1	1	1	2	1	1	2	2	1	1	1	1	2	2
ORTHOMCL301	1	1	1	1	2	0	2	1	2	1	1	2	1	2	2
ORTHOMCL302	1	1	1	1	2	4	1	2	1	1	1	1	1	1	1
ORTHOMCL303	2	1	1	1	1	1	1	2	2	1	1	1	1	2	2
ORTHOMCL304	1	1	1	1	1	0	3	1	2	1	1	2	1	2	2
ORTHOMCL305	1	1	1	1	3	0	4	1	1	1	2	1	1	1	1
ORTHOMCL306	2	1	1	1	1	1	1	2	2	1	1	1	1	2	2
ORTHOMCL307	1	1	2	3	2	1	2	1	1	1	1	1	1	1	1
ORTHOMCL308	1	1	1	1	1	1	6	1	1	1	1	1	1	1	1
ORTHOMCL309	1	2	2	2	1	2	2	1	1	1	1	1	1	1	1
ORTHOMCL310	2	2	1	1	2	0	7	0	0	1	0	3	1	0	0
ORTHOMCL311	1	1	1	1	1	2	5	1	1	1	0	2	1	1	1
ORTHOMCL312	1	1	1	1	1	2	1	2	1	1	1	2	1	1	3
ORTHOMCL313	2	2	1	1	1	2	2	1	1	1	1	2	1	1	1
ORTHOMCL314	1	1	1	1	1	1	6	1	1	1	1	1	1	1	1
ORTHOMCL315	1	1	1	1	1	1	2	2	2	1	1	1	1	2	2
ORTHOMCL316	1	1	1	1	1	2	1	2	2	1	1	1	1	2	2
ORTHOMCL317	1	1	1	1	1	2	1	2	2	1	1	1	1	2	2
ORTHOMCL318	1	1	1	1	1	1	2	2	2	1	1	1	1	2	2
ORTHOMCL319	1	1	1	1	1	2	4	1	1	1	1	1	2	1	1
ORTHOMCL320	1	1	1	1	1	1	3	2	1	1	1	1	1	2	2
ORTHOMCL321	1	1	1	1	2	0	6	2	1	1	1	0	1	1	1
ORTHOMCL322	1	1	1	1	1	0	4	2	2	1	1	1	1	2	1
ORTHOMCL323	1	1	1	1	1	1	2	1	1	1	2	2	3	1	1
ORTHOMCL324	1	1	1	1	2	1	4	1	1	1	1	2	1	1	1
ORTHOMCL325	1	1	1	1	4	2	2	1	1	2	1	0	1	1	1
ORTHOMCL326	1	1	2	2	1	1	2	2	2	1	0	1	2	1	1
ORTHOMCL327	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0
ORTHOMCL328	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0
ORTHOMCL329	0	0	0	2	0	0	0	0	0	0	16	0	1	0	0
ORTHOMCL330	0	0	0	1	0	0	12	0	0	0	6	0	0	0	0
ORTHOMCL331	0	3	1	3	0	0	0	0	2	2	1	1	4	1	1
